ID,New
SmallRetained,Small
SmallCreated,N/A
MediumRetained,Medium
MediumCreated,N/A
LargeRetained,Large
LargeCreated,N/A
Very largeRetained,Very large
Very largeCreated,N/A
N/ACreated,(no selection)
N/ACreated,Small
N/ACreated,Medium
N/ACreated,Large
N/ACreated,Very large
